Questions,A,B,C,D,Ans,CorrectPoints,WrongPoints
 A developer has the following code:try {List nameList;Account a;String s = a.Name;nameList.add(s);} catch (ListException le ) {System.debug(' List Exception ');} catch (NullPointerException npe) {System.debug(' NullPointer Exception ');} catch (Exception e) {System.debug(' Generic Exception ');} What message will be logged?. Discuss,A. List Exception,B. NullPointer Exception,C. Generic Exception,D. No message is logged,B. NullPointer Exception,5,0
 A developer in a Salesforce org with 100 Accounts executes the following code using the Developer console: Account myAccount = new Account(Name = 'MyAccount'); Insert myAccount; For (Integer x = 0; x < 150; x++) {Account newAccount = new Account (Name='MyAccount' + x); try {Insert newAccount;} catch (Exception ex) {System.debug (ex) ; } } insert new Account (Name='myAccount');How many accounts are in the org after this code is run?Discuss,A. 101,B. 100,C. 102,D. 252,B. 100,5,0
 In which order does Salesforce execute events upon saving a record?,A. Before Triggers; Validation Rules; After Triggers; Assignment Rules; Workflow Rules; Commit,B. Validation Rules; Before Triggers; After Triggers; Workflow Rules; Assignment Rules; Commit,C. Before Triggers; Validation Rules; After Triggers; Workflow Rules; Assignment Rules; Commit,D. Validation Rules; Before Triggers; After Triggers; Assignment Rules; Workflow Rules; Commit,A. Before Triggers; Validation Rules; After Triggers; Assignment Rules; Workflow Rules; Commit,5,0
" The initial value for a number field on a record is 1. A user updated the value of the number field to 10. This action invokes a workflow field update, which changes the value of the number field to 11. After the workflow field update, an update trigger fires.What is the value of the number field of the object that is obtained from Trigger.old? ",A. Null,B. 11,C. 1,D. 10,C. 1,5,0
 What is a capability of the Developer Console?,"A. Execute Anonymous Apex code, Create/Edit code, view Debug Logs.","B. Execute Anonymous Apex code, Run REST API, create/Edit code.","C. Execute Anonymous Apex code, Create/Edit code, Deploy code changes.","D. Execute Anonymous Apex code, Run REST API, deploy code changes.","A. Execute Anonymous Apex code, Create/Edit code, view Debug Logs.",5,0
 What is a valid source and destination pair that can send or receive change sets? (Choose 2),A. Developer Edition to Sandbox ,B. Sandbox to Production ,C. Sandbox to Sandbox ,D. Developer Edition to Production,0,,
" What is an accurate constructor for a custom controller named ""MyController""?",A. public MyController () { account = new Account () ;  ,B. public MyController (sObject obj) { account = (Account) obj; } ,C. public MyController (List objects) { accounts = (List ) objects; } ,D. public MyController (ApexPages.StandardController stdController) { account = (Account) stdController.getRecord(); },A. public MyController () { account = new Account () ;  ,,
 What is the proper process for an Apex unit test?,A. Query for test data using SeeAllData = true. Call the method being tested. Verify that the results are correct.,B. Query for test data using SeeAllData = true. Execute runAllTests(). Verify that the results are correct.,C. Create data for testing. Execute runAllTests(). Verify that the results are correct.,D. Create data for testing. Call the method being tested. Verify that the results are correct.,D. Create data for testing. Call the method being tested. Verify that the results are correct.,,
 What is the proper process for an Apex unit test?,A. Query for test data using SeeAllData = true. Call the method being tested. Verify that the results are correct.,B. Query for test data using SeeAllData = true. Execute runAllTests(). Verify that the results are correct.,C. Create data for testing. Execute runAllTests(). Verify that the results are correct.,D. Create data for testing. Call the method being tested. Verify that the results are correct.,D. Create data for testing. Call the method being tested. Verify that the results are correct.,,
 What is the use of Login IP Range?,A. Login IP is used to restrict user from logging in Salesforce,B. Does not control login access for a user profile,C. Prevent users to login into specified application.,D. Allows only specified users into Salesforce Org.,A. Login IP is used to restrict user from logging in Salesforce,,
 What is the value of x after the code segment executes?String x = 'A';Integer i = 10;if ( i < 15 ) {i = 15;x = 'B';} else if ( i < 20 ) {x = 'C';} else {x = 'D'; },A. D ,B. A ,C. B ,D. C,C. B ,,
